=============================================================================
                             Performance  Report                             
=============================================================================
| Scene Scale  | Objects(N) | Build Time (s)       | Render Time (s)      |
|--------------|------------|----------------------|----------------------|
| 1            | 100        | 0.00077              | 2.32601              |
| 2            | 100        | 0.00096              | 4.32784              |
| 4            | 100        | 0.00152              | 2.38685              |
| 6            | 100        | 0.00091              | 2.62675              |
| 1            | 500        | 0.00204              | 4.38461              |
| 2            | 500        | 0.00150              | 9.03707              |
| 4            | 500        | 0.00119              | 5.83271              |
| 6            | 500        | 0.00129              | 3.76449              |
| 1            | 1000       | 0.00164              | 4.97776              |
| 2            | 1000       | 0.00243              | 9.63199              |
| 4            | 1000       | 0.00173              | 8.39834              |
| 6            | 1000       | 0.00182              | 6.39457              |
| 1            | 2000       | 0.00313              | 6.66330              |
| 2            | 2000       | 0.00287              | 7.59723              |
| 4            | 2000       | 0.00270              | 10.90830             |
| 6            | 2000       | 0.00310              | 6.64710              |
=============================================================================
